Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,benefitsReviewPreprocess,sideEffectsReviewPreprocess,commentsReviewPreprocess
458,flagyl,7,Considerably Effective,Moderate Side Effects,bacterial vaginosis,I experienced complete clearing of the Vaginosis after the regimin was completed.,I did get a mild yeast infection during treatment.,"I took the antibiotic as prescribed every day, twice a day, one pill each time. My Bacterial Vaginosis cleared up after treatment. However, I did have a slight yeast infection that went away with an OTC treatment.","['experienced', 'complete', 'clearing', 'wa', 'completed']","['get', 'mild', 'yeast', 'infection', 'treatment']","['took', 'antibiotic', 'prescribed', 'every', 'day', 'twice', 'day', 'one', 'pill', 'time', 'bacterial', 'cleared', 'treatment', 'however', 'slight', 'yeast', 'infection', 'went', 'away', 'otc', 'treatment']"
3479,dextroamphetamine,8,Highly Effective,Moderate Side Effects,add,"Smoother more gradual onset and effect than Adderall. Effective at controlling ADD symptoms previously controlled by Adderall however this drug seems more natural and transparent. Less tension and anxiety. Less ""druggy"" unnatural feelings and thoughts.",Dexerine IR tablets need to be taken more often than adderall and also wear off more abruptly. Generic tablets are not high quality and somewhat expensive due to the need for a large quantity of tablets.,Switched from Adderall to Dexedrine to compare the effects. Dexedrine is simply dextroamphetamine while Adderall is a mixture of Amphetamine salts. This might explain the increased effectiveness of the Dexedrine contrary to popular belief. I found it important to take several relatively low doses frequently to achieve a balanced effect.,"['smoother', 'gradual', 'onset', 'effect', 'adderall', 'effective', 'controlling', 'add', 'symptom', 'previously', 'controlled', 'adderall', 'however', 'drug', 'seems', 'natural', 'le', 'tension', 'anxiety', 'le', 'feeling', 'thought']","['tablet', 'need', 'taken', 'often', 'also', 'wear', 'generic', 'tablet', 'high', 'quality', 'somewhat', 'due', 'need', 'large', 'tablet']","['switched', 'adderall', 'effect', 'simply', 'adderall', 'salt', 'might', 'explain', 'increased', 'effectiveness', 'found', 'important', 'take', 'several', 'relatively', 'low', 'dos', 'frequently', 'achieve', 'effect']"
959,sarafem,8,Considerably Effective,Mild Side Effects,depression,I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.,"My sides effects were not noticeable and very mild.  I have noticed some lower libido while on Fluoxetine, but no other noticeable side effects.","This was prescribes to me for treatment for depression, seasonable disorder and hormonal irritability.   I have gone off this medication while pregnant, but have resumed to help ease depression issues.","['found', 'drug', 'help', 'significantly', 'level', 'depression', 'monthly', 'irritability', 'occurs', 'around', 'menstrual', 'cycle']","['side', 'effect', 'noticeable', 'mild', 'noticed', 'lower', 'libido', 'noticeable', 'side', 'effect']","['wa', 'prescribes', 'treatment', 'depression', 'disorder', 'hormonal', 'irritability', 'gone', 'medication', 'pregnant', 'resumed', 'help', 'ease', 'depression', 'issue']"
928,latisse,9,Considerably Effective,Mild Side Effects,sparse eyelashes,"For the first time in my life I had enough lashes to apply mascara to.  I had tried eyelash extensions which only broke off or pulled out what few thin lashes I did have.  Strip lashes were itchy and uncomfortable.  I now have normal lashes.

Even though I only applied it to upper lashes the lower lashes have grown longer and thicker too.",My upper eyelids were red and itchy for the first 4-5 weeks but that went away and I have not had a problem since.  My eye exams have been normal with eye preassure normal.,For the first 6-8 weeks I used one drop every night applied to upper lash base with a small disposable brush.  After my lashes had grown in I started using it every 2-3 nights instead of every night and the lashes have stayed longer and thicker than prior to treating them.,"['first', 'time', 'life', 'enough', 'lash', 'apply', 'mascara', 'tried', 'eyelash', 'broke', 'pulled', 'thin', 'lash', 'lash', 'itchy', 'uncomfortable', 'normal', 'lash', 'even', 'though', 'applied', 'upper', 'lash', 'lower', 'lash', 'grown', 'longer', 'thicker']","['upper', 'eyelid', 'red', 'itchy', 'first', '4', '5', 'week', 'went', 'away', 'problem', 'since', 'eye', 'exam', 'normal', 'eye', 'normal']","['first', '6', '8', 'week', 'used', 'one', 'drop', 'every', 'night', 'applied', 'upper', 'lash', 'base', 'small', 'brush', 'lash', 'started', 'using', 'every', '2', '3', 'night', 'instead', 'every', 'night', 'lash', 'stayed', 'longer', 'thicker', 'prior', 'treating']"
2643,aldara,4,Considerably Effective,Severe Side Effects,skin cancer,Aldara did seem to crust up my previous skin cancer area and help minimize my scar from MOHS surgery for skin cancer. Due to the side effects I could only tolerate for one week opposed to 6 week regiman.,"I felt an out of it feeling, like a depressed feeling, I was fatigued and I broke out with severe blisters on and around my lips.",I used 1/4 of a packet(5% cream) on just my nose every other night and on alternating nights I put on an entire packet on my entire face.,"['seem', 'previous', 'skin', 'cancer', 'area', 'help', 'minimize', 'scar', 'surgery', 'skin', 'cancer', 'due', 'side', 'effect', 'could', 'tolerate', 'one', 'week', 'opposed', '6', 'week']","['felt', 'feeling', 'like', 'depressed', 'feeling', 'wa', 'fatigued', 'broke', 'severe', 'blister', 'around', 'lip']","['used', '1', '4', 'packet', '5', 'cream', 'nose', 'every', 'night', 'night', 'put', 'entire', 'packet', 'entire', 'face']"
3692,effexor-xr,8,Highly Effective,No Side Effects,anxiety,"reduction in anxiety, no panic attacks.  drug is extremely effective",no side effects while on drug.  Super bad side effects while going off the drug.  Google searched it.  Lots of people with the same symptoms.  read up before you start it.,"took medication for 5 to 6 years.  Very hard to get off this drug.  I liked the way my anxiety was controlled, but it also inhibits all emotional response (at least in my case).  I didn't have any mood, emotion, nothing.  It gave me a very flat affect.  Also my doctor did not seem very informed toward drug side effects and withdrawl symptomologies.","['reduction', 'anxiety', 'panic', 'attack', 'drug', 'extremely', 'effective']","['side', 'effect', 'drug', 'super', 'bad', 'side', 'effect', 'going', 'drug', 'lot', 'people', 'symptom', 'read', 'start']","['took', 'medication', '5', '6', 'year', 'hard', 'get', 'drug', 'way', 'anxiety', 'wa', 'controlled', 'also', 'emotional', 'response', 'least', 'case', 'mood', 'emotion', 'nothing', 'gave', 'affect', 'also', 'doctor', 'seem', 'informed', 'drug', 'side', 'effect']"
338,neurontin,6,Moderately Effective,No Side Effects,nerve disorder,"I'm taking Gabapentin to treat nerve disorder. My nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. The Gabapentin sometimes works but I do experience relapse.



For the migraines

I find that the 800mg of Ibprofen works better with no side effect for my migraines, but the maxalt has a better track record.","I have no side effect while taking Gabapentin but if I miss a couple of dosages or run out and wait for my next refill, I have moderate withdrawal syptoms. These syptoms include itchness, irrability, moodness, axiousness, and headaches.



Maxalt side effect for  me is throat feels contristricted shortly after taking medicine.",I take 600mg of Gabapentin three times day. It seems to be effective but I feel I need a hire dosage as the longer I take it the more I experience relapses.I first started out with 300mg three times a day but it was ineffective.,"['taking', 'gabapentin', 'treat', 'nerve', 'disorder', 'nerve', 'inflamed', 'cause', 'experience', 'pain', 'disorder', 'gabapentin', 'sometimes', 'work', 'experience', 'relapse', 'migraine', 'find', 'work', 'better', 'side', 'effect', 'migraine', 'maxalt', 'ha', 'better', 'track']","['side', 'effect', 'taking', 'miss', 'couple', 'dosage', 'run', 'wait', 'next', 'refill', 'moderate', 'withdrawal', 'include', 'headache', 'maxalt', 'side', 'effect', 'throat', 'feel', 'shortly', 'taking', 'medicine']","['take', '600mg', 'gabapentin', 'three', 'time', 'day', 'seems', 'effective', 'feel', 'need', 'dosage', 'longer', 'take', 'experience', 'relapse', 'first', 'started', '300mg', 'three', 'time', 'day', 'wa', 'ineffective']"
3201,omnicef,1,Marginally Effective,Severe Side Effects,sore throat ear infections,don't know yet back to pediatrician today,"My one year old daughter who has an awesome disposition (and always has) became restless and agitated. Very touchy, aggressive, crying a lot, and having a hard time sleeping. Also refluxing a lot and not nursing normally. It just dawned on me this morning it must be the medication. Will request another antibiotic today from the pediatrician.",Thanks,"['know', 'yet', 'back', 'today']","['one', 'year', 'old', 'daughter', 'ha', 'always', 'ha', 'became', 'restless', 'agitated', 'aggressive', 'cry', 'lot', 'hard', 'time', 'sleeping', 'also', 'lot', 'normally', 'morning', 'must', 'medication', 'another', 'antibiotic', 'today']",['thanks']
2566,klonopin,8,Considerably Effective,Mild Side Effects,generalized anxiety disorder,Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid.,Fatigue can sometimes be excessive.  High dependency.,"Used for general anxiety and as an adjunct for depression and chronic pain.  Very good at alleviating any anxiety and jittery feelings.  'Levels out' my mood but doesn't cause euphoria; I have no desire to take more than I need.  However I am very dependent on it; if I stop taking it for a couple of days I have bad nervousness and jitteryness, tachycardia, sweating, and other anxiety symptoms.  If I wanted to discontinue I would have to do _very_ slowly, but this is the nature of long-term benzodiazepine treatment.","['good', 'relieving', 'anxiety', 'good', 'generally', 'calming', 'make', 'functioning', 'easier', 'help', 'little', 'relax', 'muscle', 'tension', 'calming', 'effect', 'make', 'excellent', 'sleep', 'aid']","['fatigue', 'sometimes', 'excessive', 'high', 'dependency']","['used', 'general', 'anxiety', 'depression', 'chronic', 'pain', 'good', 'alleviating', 'anxiety', 'jittery', 'feeling', 'level', 'mood', 'doe', 'desire', 'take', 'need', 'however', 'dependent', 'stop', 'taking', 'couple', 'day', 'bad', 'nervousness', 'sweating', 'anxiety', 'symptom', 'wanted', 'discontinue', 'would', 'slowly', 'nature', 'long', 'term', 'benzodiazepine', 'treatment']"
723,dovonex,6,Moderately Effective,No Side Effects,psoriasis,"Controlled the psoriasis, however did not reduce its presence.","a ""halo"" a few shades lighter than the natural skin tone was present around the site of application, which would last about 12-24 hours.","I found this time-consuming to apply 1-2 times daily.  Also, due to the ""halo"" effect, it was a little precarious to apply as well.","['controlled', 'psoriasis', 'however', 'reduce', 'presence']","['natural', 'skin', 'tone', 'wa', 'present', 'around', 'site', 'application', 'would', 'last', '12', '24', 'hour']","['found', 'time', 'apply', '1', '2', 'time', 'daily', 'also', 'due', 'effect', 'wa', 'little', 'apply', 'well']"
305,protopic,8,Highly Effective,Moderate Side Effects,ezcema,cure the ezcema and it took aout teh roughest of the skin,"skin redness and flushes, sometimes the skin eels like it is on fire, and you feel very ho.

It is also very itchy when the skin is heeling because of the drug, sometimes you even wake up in the middle of the night because of the itchiness. But this only happens the first few days, when the skins is very bad with ezcema, after a few days, when the skin is better you don't feel you have put any treatment in the skin, and it feels as any othe normal moisturiser cream","to apply once a day afeter cleaning the skin, and avoid direct sunlight","['cure', 'took', 'skin']","['skin', 'redness', 'flush', 'sometimes', 'skin', 'like', 'feel', 'also', 'itchy', 'skin', 'drug', 'sometimes', 'even', 'wake', 'middle', 'night', 'itchiness', 'happens', 'first', 'day', 'skin', 'bad', 'day', 'skin', 'better', 'feel', 'put', 'treatment', 'skin', 'feel', 'normal', 'cream']","['apply', 'day', 'cleaning', 'skin', 'avoid', 'direct', 'sunlight']"
1084,effexor,9,Considerably Effective,Mild Side Effects,panic attacks and depression,reduction of panic attacks and depression to almost nil,nausea for first two weeks then no perceived ill effects,started on a low dose (25mg) and built up to 150mg over 3 months which was reduced to 75mg per day after six months. This dose continues today. A six month treatment break resulted in a return of the symptoms so treatment was resumed at 25mg up to 75mg after one month.,"['reduction', 'panic', 'attack', 'depression', 'almost']","['nausea', 'first', 'two', 'week', 'ill', 'effect']","['started', 'low', 'dose', '25mg', 'built', '150mg', '3', 'month', 'wa', 'reduced', '75mg', 'per', 'day', 'six', 'month', 'dose', 'continues', 'today', 'six', 'month', 'treatment', 'break', 'resulted', 'return', 'symptom', 'treatment', 'wa', 'resumed', '25mg', '75mg', 'one', 'month']"
1246,sotret,10,Highly Effective,Moderate Side Effects,acne,"I took isotretinoin for persistent adult acne.  My skin was not by any means awful, but I did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  The drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  My once horribly oily skin changed to almost normal.","First, let me say that I didn't experience the awful side effects that some do with isotretinoin use.  I did turn very, very red around the perioral area and especially at the nasolabial folds.  My face felt as if I needed to peel it off and scratch deep down in the dermis.  In fact, that was my main complaint--the itchiness . . . and of course the dryness.  But the dryness was not nearly as bad as I expected.  For example, my lips never cracked.  However, I'm several years out from treatment , and I still have dry skin problems.  It's weird because my skin was always so oily and now it's dry.  But that could be attributed to normal aging.  Regardless, I've become a real connosiour of facial moisturizers.  My skin is also a little more sensitive post isotretinoin.  Tazorac one percent, which I used to slather on nightly like lotion, now sets me on fire if I dare to use the half percent version more than twice a week.  I know the literature claims there's no anti-aging efficacy if it isn't used daily, but I'm hoping for the best.","I have to confess that I'm confused by this section.  There were no real ""details"" associated with my treatment aside from what I've alreay described.","['took', 'persistent', 'adult', 'acne', 'skin', 'wa', 'mean', 'awful', 'pimple', 'forehead', 'chin', 'awful', 'awful', 'blackhead', 'nose', 'despite', 'daily', 'terrible', 'drug', 'totally', 'cleared', 'face', 'blackhead', 'literally', 'dried', 'front', 'eye', 'oily', 'skin', 'changed', 'almost', 'normal']","['first', 'let', 'say', 'experience', 'awful', 'side', 'effect', 'use', 'turn', 'red', 'around', 'area', 'especially', 'fold', 'face', 'felt', 'needed', 'peel', 'deep', 'fact', 'wa', 'main', 'complaint', 'itchiness', 'course', 'dryness', 'dryness', 'wa', 'nearly', 'bad', 'expected', 'example', 'lip', 'never', 'however', 'several', 'year', 'treatment', 'still', 'dry', 'skin', 'problem', 'weird', 'skin', 'wa', 'always', 'oily', 'dry', 'could', 'attributed', 'normal', 'regardless', 'become', 'real', 'facial', 'skin', 'also', 'little', 'sensitive', 'post', 'tazorac', 'one', 'used', 'like', 'lotion', 'set', 'use', 'half', 'version', 'twice', 'week', 'know', 'literature', 'anti', 'used', 'daily', 'hoping', 'best']","['confused', 'section', 'real', 'detail', 'associated', 'treatment', 'aside', 'described']"
1714,retin-a-micro,8,Moderately Effective,Moderate Side Effects,"anti-aging, acne","The treatment benefits included Skin Regeneration, and decreased Acne.  My skin felt more smooth and the pigmentation was disapearing.  Overall, the goals were accomplished however the redness of the skin took over.","The side effects of the treatment included Redness, Dryness, Skin Irritation.  The skin was very dry and difficult to moisturize.  The skin looked red and irritated.   However, when I switched to a lighter skin cleanser, Cetaphil, this really helped improve the redness and dryness.  Prior to the Cetaphil i was using Roc cleansing pads which were too harsh on my skin.",My routine included Daily use of Micro Retin A pump.  I applied the Retin A Micro pump to my entire face at night after washing my face.  I used a moisturizer and sun screen in the morning.,"['treatment', 'benefit', 'included', 'skin', 'decreased', 'acne', 'skin', 'felt', 'smooth', 'pigmentation', 'wa', 'overall', 'goal', 'accomplished', 'however', 'redness', 'skin', 'took']","['side', 'effect', 'treatment', 'included', 'redness', 'dryness', 'skin', 'irritation', 'skin', 'wa', 'dry', 'difficult', 'skin', 'looked', 'red', 'irritated', 'however', 'switched', 'skin', 'cleanser', 'cetaphil', 'really', 'helped', 'redness', 'dryness', 'prior', 'cetaphil', 'wa', 'using', 'skin']","['routine', 'included', 'daily', 'use', 'micro', 'retin', 'pump', 'applied', 'retin', 'micro', 'pump', 'entire', 'face', 'night', 'washing', 'face', 'used', 'moisturizer', 'sun', 'morning']"
376,lamotrigine,9,Considerably Effective,Mild Side Effects,epilpsy,fits settled down to maybe 1 a fortnight which were daily before this medication,has gained quite abit of weight but as he has had problems gaining weight since being a toddler this isnt a bad thing,givn by specialist after previous medicine epilim caused serious side effects still messing with dosage in the hope of getting his fits down to 0 but so far a vast improvement in seizures,"['fit', 'settled', 'maybe', '1', 'daily', 'medication']","['ha', 'gained', 'quite', 'weight', 'ha', 'problem', 'gaining', 'weight', 'since', 'bad', 'thing']","['specialist', 'previous', 'medicine', 'caused', 'serious', 'side', 'effect', 'still', 'dosage', 'hope', 'getting', 'fit', '0', 'far', 'improvement', 'seizure']"
1571,rebif,6,Considerably Effective,Moderate Side Effects,multiple sclerosis,Reduce number of MS relapses,"Flu like symptoms- aches, fever",subcutaneous injection 3x weekly,"['reduce', 'number', 'relapse']","['flu', 'like', 'symptom', 'ache', 'fever']","['subcutaneous', 'injection', '3x', 'weekly']"
